"record_id","region","state_territory","organization","website","listed_leader_name","listed_leader_title","listed_org_email","listed_leadership_email"
"R01","Southeast Regional","Alabama","The Alabama Development Fund","https://www.madeinalabama.com","Ellen McNair","Secretary of Commerce","contact@madeinalabama.com","ellen.mcnair@commerce.alabama.gov"
"R02","Pacific Northwest Regional","Alaska","The Alaska Department of Commerce, Community, and Economic Development","https://www.commerce.alaska.gov/web/","Julie Sande","Commissioner, Dept. of Commerce, Community, and Economic Development","AlaskaDevelopment@alaska.gov","julie.sande@alaska.gov"
"R03","American Samoa","American Samoa","The American Samoa Department of Commerce","https://www.doc.as/","Lina Petaia","Director, Department of Commerce","info@doc.as",""
"R04","South Central Regional","Arizona","The Arizona Commerce Authority","https://www.azcommerce.com","Sandra Watson","President & CEO","events@azcommerce.com","sandra.watson@azcommerce.com"
"R05","South Central Regional","Arkansas","The Arkansas Economic Development Commission","https://www.arkansasedc.com/","Clint O'Neal","Executive Director","info@arkansasedc.com","clint.oneal@arkansasedc.com"
"R06","Western Regional","California","The California Governor's Office of Business and Economic Development","https://business.ca.gov","Dee Dee Myers","Senior Advisor and Director, GO-Biz","","dee.myers@gobiz.ca.gov"
"R07","South Central Regional","Colorado","The Colorado Office of Economic Development and International Trade","https://oedit.colorado.gov","Eve Lieberman","Executive Director","oedit.info@state.co.us","eve.lieberman@state.co.us"
"R08","Northeast Regional","Connecticut","The Connecticut Department of Economic and Community Development","https://portal.ct.gov/DECD","Daniel O'Keefe","Commissioner","decd@ct.gov","daniel.okeefe@ct.gov"
"R09","Mid-Atlantic Regional","Delaware","The Delaware Division of Small Business","https://www.delaware.gov/","CJ Bell","Director","business@delaware.gov","cj.bell@delaware.gov"
"R10","Southeast Regional","Florida","FloridaCommerce","https://www.floridajobs.org/","Alex Kelly","Secretary of Commerce","CustomerInfoCenter@commerce.fl.gov","alex.kelly@commerce.fl.gov"
"R11","Southeast Regional","Georgia","The Georgia Department of Economic Development","https://www.georgia.org","Pat Wilson","Commissioner","econdev@georgia.org","pat.wilson@georgia.org"
"R12","Guam","Guam","The Guam Economic Development Authority","https://www.investguam.com/","Melanie Mendiola","CEO/Administrator","info@investguam.com","melanie.mendiola@investguam.com"
"R13","Western Regional","Hawaii","The Hawaii Department of Business, Economic Development & Tourism","https://dbedt.hawaii.gov/","James Kunane Tokioka","Director","dbedt@hawaii.gov","dbedt.director@dbedt.hawaii.gov"
"R14","Pacific Northwest Regional","Idaho","The Idaho Department of Commerce","https://commerce.idaho.gov/","Tom Kealey","Director","info@commerce.idaho.gov","tom.kealey@commerce.idaho.gov"
"R15","North Central Regional","Illinois","The Illinois Department of Commerce and Economic Opportunity","https://dceo.illinois.gov/","Kristin Richards","Director","dceo.webmail@illinois.gov","kristin.richards@illinois.gov"
"R16","North Central Regional","Indiana","The Indiana Economic Development Corporation","https://iedc.in.gov/","David Rosenberg","Secretary of Commerce","info@iedc.in.gov","david.rosenberg@iedc.in.gov"
"R17","North Central Regional","Iowa","The Iowa Economic Development Authority","https://www.iowaeda.com/","Debi Durham","Director, Iowa Economic Development Authority & Iowa Finance Authority","info@iowaeda.com","debi.durham@iowaeda.com"
"R18","North Central Regional","Kansas","The Kansas Department of Commerce","https://www.kansascommerce.com/","David Toland","Lt. Governor and Secretary of Commerce","info@kansascommerce.com","david.toland@ks.gov"
"R19","Southeast Regional","Kentucky","The Kentucky Cabinet for Economic Development","https://ced.ky.gov/","Jeff Noel","Secretary of the Cabinet for Economic Development","econdev@ky.gov","jeff.noel@ky.gov"
"R20","South Central Regional","Louisiana","Louisiana Economic Development","https://www.opportunitylouisiana.com/","Susan Bourgeois","Secretary","LED@la.gov","susan.bourgeois@la.gov"
"R21","Northeast Regional","Maine","The Maine Department of Economic and Community Development","https://www.maine.gov/decd/","Heather Johnson","Commissioner","biz.development@maine.gov","heather.johnson@maine.gov"
