"record_id","state_territory","organization","canonical_domain","current_officeholder_name","current_officeholder_title","officeholder_confirmed","org_email_final","org_email_source","org_email_status","org_email_evidence_tier","org_email_evidence_url","org_email_confidence","org_email_agreement","leadership_email_final","leadership_email_source","leadership_email_status","leadership_email_basis","leadership_email_evidence_tier","leadership_email_evidence_url","leadership_email_confidence","leadership_email_agreement","open_issues","needs_manual_review","reconciled_by","reconciled_date"
"R01","Alabama","The Alabama Development Fund","commerce.alabama.gov","Ellen McNair","Secretary of Commerce","Y","contact@madeinalabama.com","comet","VALIDATED","1","https://www.madeinalabama.com/contact/","95","COMET_ONLY","ellen.mcnair@commerce.alabama.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://www.madeinalabama.com/resources/staff-directory/","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R02","Alaska","The Alaska Department of Commerce, Community, and Economic Development","alaska.gov","Julie Sande","Commissioner, Department of Commerce, Community and Economic Development","Y","dcced.commissioner@alaska.gov","comet","VALIDATED","1","https://www.commerce.alaska.gov/web/ContactUs","95","COMET_ONLY","julie.sande@alaska.gov","comet","INFERRED","DIRECT_SOURCE","3","https://globaledge.msu.edu/states/alaska/tradecontacts","45","COMET_ONLY","","YES (lead-lowconf)","comet (single-source; claude output absent)","2026-06-09"
"R03","American Samoa","The American Samoa Department of Commerce","doc.as.gov","Ali’imuamua Magdalene P. Petaia","Director of Commerce","Y","info@doc.as","comet","VALIDATED","1","https://www.doc.as.gov/","95","COMET_ONLY","lina.petaia@doc.as.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://www.doc.as.gov/about","75","COMET_ONLY","org email (info@doc.as) is not a generic info@ address; it is the closest designated public contact — confirm fit for use","no","comet (single-source; claude output absent)","2026-06-09"
"R04","Arizona","The Arizona Commerce Authority","azcommerce.com","Sandra Watson","President & CEO","Y","info@azcommerce.com","comet","VALIDATED","2","https://www.azcommerce.com/media/1542180/phoenix.pdf","62","COMET_ONLY","sandraw@azcommerce.com","comet","VALIDATED","DIRECT_SOURCE","2","https://www.transportation.gov/sites/dot.gov/files/docs/policy-initiatives/automated-vehicles/351321/59-arizona-commerce-authority.pdf","87","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R05","Arkansas","The Arkansas Economic Development Commission","arkansasedc.com","Clint O'Neal","Executive Director","Y","info@arkansasedc.com","comet","VALIDATED","1","https://www.arkansasedc.com/contact-us","95","COMET_ONLY","coneal@arkansasedc.com","comet","VALIDATED","DIRECT_SOURCE","1","https://www.arkansasedc.com/leadership","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R06","California","The California Governor's Office of Business and Economic Development","gobiz.ca.gov","Dee Dee Myers","Senior Advisor and Director","Y","","comet","UNVERIFIED","","https://business.ca.gov/terms-of-use/","5","COMET_ONLY","Deedee.myers@gobiz.ca.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/energy-division/documents/summer-2021-reliability/tracking-energy-development/cpuc_2025_letter_to_sdge-(1).pdf","92","COMET_ONLY","org email unverified: contact form only — https://business.ca.gov/about/contact-us/ ; ALT: CalCRG@gobiz.ca.gov (program specific), CEG@gobiz.ca.gov (program speci","YES (org)","comet (single-source; claude output absent)","2026-06-09"
"R07","Colorado","The Colorado Office of Economic Development and International Trade","state.co.us","Eve Lieberman","Executive Director","Y","oedit.info@state.co.us","comet","VALIDATED","1","https://oedit.colorado.gov/about/contact","95","COMET_ONLY","eve.lieberman@state.co.us","comet","INFERRED","CONVENTION_INFERENCE","4","https://spl.cde.state.co.us/artemis/gaserials/ga42d62internet/ga42d622024internet.pdf","50","COMET_ONLY","leadership email is convention-inferred (not seen directly); verify before high-stakes use","no","comet (single-source; claude output absent)","2026-06-09"
"R08","Connecticut","The Connecticut Department of Economic and Community Development","ct.gov","Daniel H. O'Keefe","Commissioner","Y","decd@ct.gov","comet","VALIDATED","1","https://portal.ct.gov/DECD/Content/About_DECD/Research-and-Publications/01_Access-Research/Population-Data","95","COMET_ONLY","daniel.okeefe@ct.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://egov.ct.gov/PMC/Event/Details/29319","95","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R09","Delaware","The Delaware Division of Small Business","delaware.gov","CJ Bell","Division Director","Y","business@delaware.gov","comet","VALIDATED","1","https://business.delaware.gov/contact/","95","COMET_ONLY","cj.bell@delaware.gov","comet","VALIDATED","DIRECT_SOURCE","1","https://mmp.delaware.gov/Bids/Details/8795","100","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
"R10","Florida","FloridaCommerce","commerce.fl.gov","J. Alex Kelly","Secretary of Commerce","Y","MediaInquiries@Commerce.fl.gov","comet","VALIDATED","1","https://www.floridajobs.org/help-center---contact-us","95","COMET_ONLY","alex.kelly@commerce.fl.gov","comet","VALIDATED","DIRECT_SOURCE","2","https://www.fedconline.org/sites/default/files/content-files/FEDC%20Webinar%20PowerPoint%20-%20FC%20Sec%20Alex%20Kelly.pdf","87","COMET_ONLY","org email (MediaInquiries@Commerce.fl.gov) is not a generic info@ address; it is the closest designated public contact — confirm fit for use","no","comet (single-source; claude output absent)","2026-06-09"
"R11","Georgia","The Georgia Department of Economic Development","georgia.org","Pat Wilson","Commissioner","Y","contact@georgia.org","comet","VALIDATED","1","https://georgia.org/contact-us","95","COMET_ONLY","pwilson@georgia.org","comet","VALIDATED","DIRECT_SOURCE","1","https://directory.doas.ga.gov/employee/Details/2699","75","COMET_ONLY","","no","comet (single-source; claude output absent)","2026-06-09"
